ranking,idioma,codigo,mercados_principales,potencial_rosario,prioridad_traduccion,motivo
1,Español,es,México; Colombia; Argentina; Perú; España; Chile; Venezuela; otros LATAM,Muy alta,Ya disponible,Base actual de la app; enorme mercado católico hispanohablante
2,Portugués,pt,Brasil; Portugal,Muy alta,Siguiente,Brasil es el mayor mercado católico por población
3,Inglés,en,Filipinas; Estados Unidos; Nigeria; India; diáspora internacional,Muy alta,Siguiente,Gran alcance internacional; Filipinas es uno de los mayores países católicos
4,Polaco,pl,Polonia,Muy alta,Alta,Altísima identificación católica y fuerte tradición del rosario
5,Italiano,it,Italia,Alta,Alta,Gran población católica y tradición rosariana
6,Francés,fr,Francia; RD Congo; Camerún; Costa de Marfil; Canadá,Alta,Alta,Permite cubrir Europa y grandes comunidades católicas africanas
7,Filipino / Tagalo,fil,Filipinas,Alta,Media-alta,Complementa el inglés para un mercado extremadamente religioso y católico
8,Alemán,de,Alemania; Austria; Suiza,Media,Media,Mercado digital fuerte aunque con menor práctica católica
9,Vietnamita,vi,Vietnam; diáspora vietnamita,Media,Media,Comunidad católica relevante y devocionalmente activa
10,Rumano,ro,Rumania; diáspora rumana,Media-baja,Media,Rumania es mayoritariamente ortodoxa; versión destinada específicamente a católicos
11,Croata,hr,Croacia; Bosnia y Herzegovina,Media,Media,Fuerte tradición católica regional
12,Húngaro,hu,Hungría; comunidades húngaras vecinas,Media,Media,Población católica relevante; buen candidato europeo
